no,nama_pbphh,kantor,pabrik,no_izin,direktur,skala,wilayah
118,UD SEMPULUR,"RT 002 RW.004, Ds. Penjor, Kec. Pagerwijo, Kab. Tulungagung","RT 002 RW.004, Ds. Penjor, Kec. Pagerwijo, Kab. Tulungagung",112/14.07/01/X/2022 / 20 Oktober 2022,Alim Wahyudi,kecil,2
119,UD  TUNAS MUDA,"RT 001 RW 004, Ds. Boro, Kec. Kedungwaru, Kab. Tulungagung","RT 001 RW 004, Ds. Boro, Kec. Kedungwaru, Kab. Tulungagung",110/14.07/01/X/2022 / 05 Oktober 2022,Moch. Soliya Alfa Saloma Okta Yuliara,kecil,2
120,UD UD. MERSEDES, RT. 04 RW. 01 Jl. Raya Tulungagung Trenggalek Nomor 42 Desa Jarakan Kec. Gondang Kab. Tulungagung,RT. 04 RW. 01 Jl. Raya Tulungagung Trenggalek Nomor 42 Desa Jarakan Kec. Gondang Kab. Tulungagung,31/14.01.1/01/IV/2023 /  14 April 2023,MUHAMMAD DZUL FITHER,kecil,2
121,UD KARYA MANDIRI,"Dusun Soireng RT. 06 RW. 02 Desa Keboireng, Kec. Besuki","Dusun Soireng RT. 06 RW. 02 Desa Keboireng, Kec. Besuki",P2T/46/14.02/01/V/2015,KARYANTO,menengah,2
122,UD MULYONO,"Dusun Palem RT. 04 RW. 04, Desa Serut, Kec. Boyolangu","Dusun Palem RT. 04 RW. 04, Desa Serut, Kec. Boyolangu",P2T/47/14.02/01/V/2015,H. MULYONO,menengah,2
123,UD ERICA JAYA,"Dusun Karangtalun RT. 06 RW. 04, Desa Karangtalun, Kec. Kaliwadir","Dusun Karangtalun RT. 06 RW. 04, Desa Karangtalun, Kec. Kaliwadir",P2T/48/14.02/01/V/2015,MASRI,menengah,2
124,UD KEMBANG JAYA,"Dusun Sambigede RT. 01 RW. 06, Desa Sambirobyong, Kec. Sumbergempol, Kab. Tulungagung","Dusun Sambigede RT. 01 RW. 06, Desa Sambirobyong, Kec. Sumbergempol, Kab. Tulungagung",P2T/14/14.02/01/IV/2016,BIBIT WIYATI,menengah,2
125,CV IAGO MARSANI BAKTI,DSN SECANG DS. POJOK KEC. CAMPURDARAT KAB. TULUNGAGUNG,DSN SECANG DS. POJOK KEC. CAMPURDARAT KAB. TULUNGAGUNG,"P2T/33/14.02/01/VIII/ 2017, TGL. 18 AGUSTUS 2017",MARSAM,menengah,2
126,"CV KAYU EMAS, CV",RT 003 RW 002 DS. NGUNUT KEC. NGUNUT KAB. TULUNGAGUNG,RT 003 RW 002 DS. NGUNUT KEC. NGUNUT KAB. TULUNGAGUNG,"P2T/65/14.02/01/XI/2017, TGL.  22 NOPEMBER 2017",0,menengah,2
127,UD ENGGAL JAYA,Dsn Tebokan RT 002 RW 004 Ds Boro Kec. Kedung Waru Kab. Tulungagung,Dsn Tebokan RT 002 RW 004 Ds Boro Kec. Kedung Waru Kab. Tulungagung,P2T/43/14.02/01/VIII/2018,0,menengah,2
