no,nama,alamat,ketua,jenis_usaha,no_register,anggota,wilker
255,Rimbun Muji Lestari,"Dsn. Kebonagung RT 13 RW 05, Desa Depok, Kec. Bendungan, Kab. Trenggalek ",Bibit,Hutan Rakyat,35/03/09/2007/KTH.049/2015,58,1
256,Rimbun Bumi Lestari,"Dsn. Krapyak RT 21 RW 07, Desa Botoputih, Kec. Bendungan, Kab. Trenggalek ",Marji,"Agroforestry, Ternak sapi perah",35/03/09/2008/KTH.050/2015,75,1
257,Rimbun Wono Koyo,0,Mujahidin,Hutan Rakyat,35/03/10/2002/KTH.051/2015,84,1
258,Rimbun Wono Mulyo,0,Adi Suyatno,"Hutan Rakyat, Bambu",35/03/10/2003/KTH.052/2015,79,1
259,Rimbun Wonoanti,0,Yeni Wahyu Widodo,Hutan Rakyat,35/03/10/2004/KTH.053/2018,80,1
260,Rimbun Jajar Abadi,0,Sutrisno,Hutan Rakyat,35/03/10/2005/KTH.054/2015,73,1
261,Rimbun Wana Mukti,0,Tasmin,Hutan Rakyat,35/03/10/2007/KTH.055/2015,69,1
262,Rimbun Alam Lestari,Rt 025 RW 006 Dsn Ngares Ds ngares Kec Trengggalek,Lamidi,Hutan Rakyat,35/03/11/2001/KTH.056/2015,34,1
263,Rimbun Agro Lestari,0,Tulus,Hutan Rakyat,35/03/11/2001/KTH.057/2018,25,1
264, Rimbun Sido Asri,Dsn Mojo Desa Sumberdadi Kecamatan Trenggalek Kab. Trenggalek ,Jumani ,"Agroforestri, Hutan Rakyat ",35/03/11/2009/KTH/058/2016,50,1
265,Rimbun Lestari Jaya,Dusun Telasih RT 02 RW 01 Ds Parakan Kec. Trenggalek Kab. Trenggalek ,Sudahlan,Hutan Rakyat,35/03/11/2012/KTH.059/2015,33,1
266,Rimbun Buana Lestari,Rt 16 Rw 02 Dsn Dawuhan Ds Dawuhan Kec. Trenggalek Kab Trenggalek ,Imam Raharjo,Hutan Rakyat,35/03/11/2013/KTH.060/2016,36,1
267,Rimbun Tunas Makmur,"Dsn. Kranding, RT 36  RW  15 Desa Bendorejo Kec. Pogalan Kab. Trenggalek",Ari Tunggul Pramono,Pembibitan,35/03/12/2006/KTH.061/2016,45,1
268,Rimbun Sumber Urip,"Dsn. Gembleb, RT 14  RW  05 Desa Gembleb, Kecamatan Pogalan Kabupaten Trenggalek",Sunarto,"Hutan Rakyat,pembuatan mebel berbahan kayu",35/03/12/2007/KTH.062/2018,35,1
269,Rimbun Sumber Makmur,"Dsn. Sumber, RT 10  RW  05 Desa Ngulanwetan, Kecamatan Pogalan Kabupaten Trenggalek",Mulyono,"Hutan Rakyat, kripik bothe",35/03/12/2009/KTH.063/2016,33,1
270,Rimbun Maju Lestari,0,Setiyono,Hutan Rakyat/Pembibitan,35/03/12/2010/KTH.064/2015,20,1
271,Rimbun Tani Mulyo,"Dsn. Pingit Lor RT 15 RW 4 Desa Gador, Kec. Durenan. Kabupaten Trenggalek",Mujito,Hutan Rakyat,35/03/13/2002/KTH.065/2016,42,1
272,Rimbun Sido Langgeng,"Dsn. Ngrejo RT 16 RW 3 Desa Sumberejo, Kec. Durenan. Kabupaten Trenggalek",Nawir Budiono,Hutan Rakyat,35/03/13/2005/KTH.066/2016,55,1
273,Rimbun Pucang Jaya,"Dsn. Pucang RT 20  Desa Pakis, Kec. Durenan. Kabupaten Trenggalek",Mukaji,Hutan Rakyat,35/03/13/2007/KTH.067/2016,49,1
274,Rimbun Lingga Makmur,Dusun Salam RT.12/RW.03,Sartono,Agroforestri,35/03/14/2003/KTH.068/2015,52,1
275,Rimbun Subur Sejahtera,Dusun Miri RT.34/RW.08,Sarno,Hutan Rakyat,35/03/14/2005/KTH.069/2016,48,1
276,Rimbun Sumber Lestari,Dusun Sumberjo RT.19/RW.04,Sugini,Hutan Rakyat,35/03/14/2007/KTH.070/2015,94,1
277,Rimbun Gayam Lestari,"Dusun Kraan Desa Gayam, Kecamatan Panggul Kabupaten Trenggalek",Sarwanto,"Hutan Rakyat, Budidaya Lebah cerana",35/03/01/2007/KTH.071/2021,31,1
278,Rimbun Lestari Mas,Dusun Tirisan Desa Pule Kecamatan Pule Kabupaten Trenggalek,Marni,"empon-empon, Porang",35/03/03/2006/KTH.072/2021,26,1
279,Rimbun Sumber Makmur,"Dsn Sumbermadu RT 20 RW 08 Desa Pucanganak, Kec. Tugu, Kab. Trenggalek.",Solabat,"Hutan Rakyat, Budidaya Porang",35/03/05/2004/KTH.073/2019,29,1
