no,nama,alamat,ketua,jenis_usaha,no_register,anggota,wilker
73,Tani Makmur,Desa Nglurup Kelurahan Sendang Kabupaten Tulungagung,Mukani,Hutan Rakyat/Kebun Bibit Rakyat,35/04/07.2010/KTH/072/2007,76,2
74,Barakan Lestari,Desa Geger Kelurahan Sendang Kabupaten Tulungagung,Kukuh,Hutan Rakyat/Kebun Bibit Rakyat,35/04/07.2011/KTH/073/1999,75,2
75,Tirto Lestari,Desa Geger Kelurahan Sendang Kabupaten Tulungagung,Mulyani,Hutan Rakyat/Kebun Bibit Rakyat,35/04/07.2011/KTH/074/2014,55,2
76,Windu Sejati,Desa Bungur Kelurahan Karangrejo Kabupaten Tulungagung,Sowoto,Hutan Rakyat,35/04/08.2001/KTH/075/2003,40,2
77,Sido Asih,Desa Bungur Kelurahan Karangrejo Kabupaten Tulungagung,Yaman,Hutan Rakyat,35/04/08.2001/KTH/076/2003,37,2
78,Mustika Jaya,Desa Babadan Kelurahan Karangrejo Kabupaten Tulungagung,Sumaji,Hutan Rakyat,35/04/08.2002/KTH/077/2006,52,2
79,Sari Bumi,Desa Punjul Kelurahan Karangrejo Kabupaten Tulungagung,H. Abu Mansur,Hutan Rakyat/Ternak,35/04/08.2011/KTH/078/2005,65,2
80,Tumpuk Lestari,Desa Punjul Kelurahan Karangrejo Kabupaten Tulungagung,Ngarsono,Hutan Rakyat,35/04/08.2011/KTH/079/2005,38,2
81,Ngudi Lestari,Desa Tulungrejo Kelurahan Karangrejo Kabupaten Tulungagung,Sumilan,Hutan Rakyat,35/04/08.2013/KTH/080/2003,46,2
82,Guyub Rukun,Desa Tulungrejo Kelurahan Karangrejo Kabupaten Tulungagung,Samuji,Hutan Rakyat/Ternak,35/04/08.2013/KTH/081/2003,42,2
83,Rekso Wono,Desa Tulungrejo Kelurahan Karangrejo Kabupaten Tulungagung,Purwanto,Hutan Rakyat,35/04/08.2013/KTH/082/2003,39,2
84,Adil II,Desa Sidem Kelurahan Gondang Kabupaten Tulungagung,Dugel,Hutan Rakyat Campuran,35/04/09.2014/KTH/083/2004,83,2
85,Adil III,Desa Sidem Kelurahan Gondang Kabupaten Tulungagung,Taslim,Hutan Rakyat Campuran,35/04/09.2014/KTH/084/2007,67,2
86,Adil IV,Desa Sidem Kelurahan Gondang Kabupaten Tulungagung,Sukari,Hutan Rakyat Campuran,35/04/09.2014/KTH/085/2007,70,2
87,Sidoluhur,Desa Sidomulyo Kelurahan Gondang Kabupaten Tulungagung,Sutekat,Hutan Rakyat Campuran,35/04/09.2015/KTH/086/2005,80,2
88,Subursantoso I,Desa Blendis Kelurahan Gondang Kabupaten Tulungagung,Kamdani,Hutan Rakyat Campuran,35/04/09.2016/KTH/087/2004,39,2
89,Subursantoso II,Desa Blendis Kelurahan Gondang Kabupaten Tulungagung,Lamidi,Hutan Rakyat Campuran,35/04/09.2016/KTH/088/2004,91,2
90,Subursantoso IV,Desa Blendis Kelurahan Gondang Kabupaten Tulungagung,Paryogi,Hutan Rakyat Campuran,35/04/09.2016/KTH/089/2005,48,2
91,Rukunsantoso I,Desa Tiudan Kelurahan Gondang Kabupaten Tulungagung,Samelan,Hutan Rakyat Campuran,35/04/09.2018/KTH/090/2005,97,2
92,Jati Rejo,Desa Pucanglaban Kelurahan Pucanglaban Kabupaten Tulungagung,Slamet,"Hutan Rakyat,  Jati, Sengon",35/04/12.2001/KTH/091/2006,32,2
93,Jati Mulyo,Desa Pucanglaban Kelurahan Pucanglaban Kabupaten Tulungagung,Supiyan B,"Hutan Rakyat,  Jati, Sengon",35/04/12.2001/KTH/092/2006,62,2
94,Margo Mulyo,Desa Pucanglaban Kelurahan Pucanglaban Kabupaten Tulungagung,Muksin,"Hutan Rakyat,  Jati, Sengon",35/04/12.2001/KTH/093/2004,47,2
95,Karya Maju,Desa Kalidawe Kelurahan Pucanglaban Kabupaten Tulungagung,Karim,"Hutan Rakyat Jati, Sengon",35/04/12.2002/KTH/094/1994,42,2
96,Tani Maju,Desa Kalidawe Kelurahan Pucanglaban Kabupaten Tulungagung,Pardi,"Hutan Rakyat Jati, Sengon",35/04/12.2002/KTH/095/2007,35,2
97,Ngudi Luhur,Desa Panggungkalak Kelurahan Pucanglaban Kabupaten Tulungagung,Giman,"Hutan Rakyat,  Jati, Sengon",35/04/12.2003/KTH/096/2006,48,2
98,Budi Luhur,Desa Panggungkalak Kelurahan Pucanglaban Kabupaten Tulungagung,Sutomo,"Hutan Rakyat,  Jati, Sengon",35/04/12.2003/KTH/097/2006,46,2
99,Tani Makmur,Desa Kali Gentong Kelurahan Pucanglaban Kabupaten Tulungagung,Singgit,"Hutan Rakyat,  Jati, Sengon",35/04/12.2004/KTH/098/2004,28,2
100,Harapan Makmur,Desa Kali Gentong Kelurahan Pucanglaban Kabupaten Tulungagung,Saijan,"Hutan Rakyat,  Jati, Sengon",35/04/12.2004/KTH/099/2005,31,2
101,Wono Makmur,Desa Sumberbendo Kelurahan Pucanglaban Kabupaten Tulungagung,Piyanto,"Hutan Rakyat Jati, TBT",35/04/12.2005/KTH/100/1994,25,2
